True,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,141,1,1,1,0,1,1,0,0,1,0,0,0,0,0,5,3,0,0,0,1,0,1,2,0,0,0,0,0,0,5,0,1,0,1
2,1,1,113,15,5,7,5,9,4,0,0,1,4,0,0,0,4,0,3,2,3,7,3,2,0,1,0,0,0,0,2,7,1,0,0,1
3,0,0,10,127,0,3,10,1,3,0,0,5,14,0,0,1,2,4,3,6,3,3,2,3,0,0,0,1,1,0,1,0,0,3,1,0
4,0,0,4,0,149,0,1,6,4,0,0,3,6,0,1,0,7,0,0,1,1,1,0,2,0,0,0,4,1,3,7,2,0,0,0,0
5,0,1,7,1,3,123,20,0,3,2,1,2,20,0,0,0,2,1,2,3,1,3,2,0,0,0,0,2,0,0,3,2,1,5,0,3
6,0,0,6,4,6,14,264,2,2,1,0,0,29,0,0,3,1,0,8,13,3,14,6,0,2,0,0,0,3,1,3,2,0,2,0,2
7,0,0,6,1,6,0,1,317,0,0,0,1,3,1,0,1,1,1,1,3,1,0,1,8,0,0,1,0,7,1,6,3,1,0,6,1
8,0,1,3,3,3,4,9,1,301,6,6,7,3,0,1,0,0,1,2,0,6,19,3,5,3,0,1,2,6,0,2,2,0,3,1,1
9,0,0,0,1,0,0,2,0,16,87,20,14,2,0,0,0,0,0,1,1,0,2,0,0,3,0,0,0,3,0,3,0,0,1,0,2
10,0,0,0,1,1,0,0,0,4,18,89,22,2,0,0,0,0,1,0,0,0,2,0,0,8,0,1,1,0,0,4,0,0,0,0,1
11,0,1,1,7,0,2,1,3,12,9,16,254,10,0,0,4,4,1,0,1,5,2,3,0,4,2,1,6,10,0,4,4,0,0,0,6
12,0,0,11,1,4,7,29,3,5,0,2,13,233,0,1,1,2,0,2,24,5,6,1,3,0,0,0,1,3,0,11,8,1,2,2,7
13,0,4,0,0,11,0,1,1,0,0,0,1,0,165,3,0,0,1,0,0,0,3,1,0,4,0,2,2,0,0,0,4,1,0,1,1
14,0,0,1,0,0,0,0,1,2,0,1,1,1,2,176,0,0,0,0,1,8,1,0,2,2,0,1,0,2,0,1,5,0,0,4,0
15,0,1,1,8,1,1,4,2,0,0,0,1,6,0,0,74,3,1,18,9,0,2,12,6,0,0,1,2,0,0,0,0,0,2,0,3
16,0,1,1,1,3,1,1,3,1,0,1,1,1,0,0,2,281,2,5,6,8,0,14,15,1,1,0,2,0,0,2,4,2,5,15,0
17,0,1,3,3,0,1,2,0,2,0,0,0,0,3,1,0,4,163,4,4,1,0,6,1,1,0,0,2,0,0,0,1,1,5,1,0
18,0,1,6,3,0,2,12,1,6,0,1,1,4,1,0,10,4,2,283,14,1,8,15,4,1,0,0,2,1,0,0,1,0,9,0,0
19,0,0,1,1,3,5,12,2,1,0,0,2,9,0,1,9,7,1,16,293,0,2,3,1,0,0,0,1,1,0,1,3,1,12,2,4
20,0,1,3,1,0,4,0,3,5,2,0,2,3,0,4,0,7,1,0,0,282,12,0,2,0,0,1,2,0,0,0,29,1,1,9,0
21,0,1,2,2,0,2,14,4,15,1,1,3,9,0,0,4,1,0,3,0,6,292,10,0,1,1,1,2,2,0,2,3,1,2,0,0
22,0,1,2,1,0,0,5,1,3,0,0,1,4,0,0,11,9,2,13,5,1,7,289,18,0,0,1,1,1,0,0,1,0,10,2,0
23,0,1,2,4,3,0,0,10,8,0,1,1,0,0,0,5,18,1,5,4,2,0,11,286,0,1,0,0,7,0,0,0,0,4,3,1
24,0,0,0,0,0,0,1,0,2,5,2,5,0,3,0,0,0,1,0,0,0,1,1,0,349,1,5,4,6,1,4,2,0,0,0,7
25,0,0,0,0,2,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,4,168,3,2,0,1,10,0,0,0,0,6
26,0,0,0,0,3,0,1,7,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,7,1,350,1,4,0,2,3,0,0,0,1
27,0,0,0,0,4,4,5,0,0,0,0,1,2,1,0,0,0,0,0,0,1,1,1,1,2,3,0,344,0,1,2,12,1,1,0,0
28,0,1,2,0,1,0,3,7,5,0,3,7,5,3,0,0,1,0,6,0,0,1,3,5,1,1,1,0,272,19,23,0,1,0,0,1
29,0,0,0,0,3,0,0,4,0,0,0,1,1,2,0,0,1,0,1,1,0,0,0,0,1,1,0,1,24,122,9,0,1,0,1,2
30,1,0,2,0,1,1,3,3,0,1,0,3,7,0,0,0,0,0,1,2,0,1,1,0,4,3,0,1,18,8,310,2,1,0,1,13
31,0,2,0,2,7,3,1,3,2,0,1,1,7,5,1,0,8,1,0,0,17,7,1,6,3,0,2,3,1,0,1,283,0,2,0,2
32,0,0,3,1,0,0,3,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,140,0,1,2
33,0,1,1,0,0,2,6,0,3,0,0,2,6,0,0,3,2,5,8,12,2,2,9,3,0,0,1,0,1,0,0,0,1,143,0,0
34,0,1,3,0,2,0,0,3,0,0,0,1,1,0,1,1,20,0,1,1,2,0,1,3,0,0,2,1,0,0,1,0,1,0,357,1
35,0,0,3,1,0,0,2,1,0,1,0,5,2,0,0,0,0,0,2,2,0,0,2,1,11,5,3,0,4,0,13,1,8,0,3,335
