True,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,145,0,0,0,1,0,2,1,0,0,1,0,1,0,0,2,1,0,0,0,0,0,2,1,0,0,0,1,0,0,7,0,1,0,0
2,0,1,112,13,4,7,2,8,0,0,0,2,6,1,0,0,5,0,3,0,7,5,3,4,1,0,0,0,1,1,3,8,3,1,0,0
3,0,0,14,127,0,7,6,1,3,1,0,3,13,0,0,3,0,1,3,6,1,4,1,2,0,0,0,0,4,0,1,0,1,4,1,0
4,0,0,1,2,142,1,1,11,6,0,0,2,8,3,0,0,3,0,0,1,2,0,0,2,0,1,3,5,1,0,3,4,0,0,1,0
5,0,2,4,5,2,120,10,0,3,1,1,2,20,0,1,0,0,1,2,7,6,1,3,3,0,0,0,1,0,0,3,4,2,6,2,1
6,0,1,8,2,3,15,250,3,5,2,0,2,26,0,1,2,1,1,13,13,1,15,4,1,1,1,0,2,2,1,5,1,2,4,1,2
7,0,0,11,1,3,0,1,305,1,0,0,0,3,2,0,0,2,0,1,2,3,2,1,8,0,0,3,0,12,0,5,9,0,0,3,1
8,0,1,5,3,2,7,7,2,287,7,2,8,2,0,2,0,0,1,2,0,3,24,2,8,5,0,2,1,7,3,0,4,1,4,2,1
9,0,0,0,1,0,2,1,0,15,87,16,19,1,0,2,0,0,0,0,1,0,1,0,1,6,0,0,0,2,0,1,0,0,0,1,1
10,0,0,0,3,1,1,0,0,2,18,94,19,0,0,0,0,0,0,0,0,0,3,0,0,4,1,1,1,4,0,1,1,0,0,0,1
11,0,0,1,7,2,1,3,1,5,7,16,259,13,1,0,2,4,0,0,3,5,5,3,0,4,2,0,3,9,0,9,1,0,1,1,5
12,0,0,3,6,5,9,29,9,3,0,0,10,230,0,1,1,1,1,2,29,3,3,3,2,0,0,0,3,5,0,12,4,0,4,2,8
13,0,4,1,1,7,0,2,1,0,0,0,1,0,162,6,0,1,1,0,0,0,1,0,0,1,0,1,4,0,2,0,8,0,0,1,1
14,0,0,0,0,1,0,0,2,1,0,1,1,1,1,177,0,0,1,0,0,9,2,1,1,1,0,0,1,2,0,0,5,0,0,4,0
15,0,0,0,4,1,4,3,3,1,1,0,0,3,0,0,63,4,2,21,12,1,2,17,4,0,0,0,1,5,1,0,0,0,1,1,3
16,0,0,2,3,1,1,0,7,2,0,0,0,1,0,1,2,274,3,5,8,5,1,5,27,0,0,0,0,4,0,1,4,1,5,17,0
17,0,1,1,2,0,1,1,1,4,0,0,0,2,1,0,4,1,161,5,5,1,0,6,3,0,0,0,1,1,0,1,0,1,4,2,0
18,0,0,3,1,0,4,17,3,6,0,0,0,3,0,0,12,2,1,267,17,1,10,21,8,0,1,0,1,2,1,0,1,0,9,2,0
19,0,0,1,2,1,5,6,2,3,0,0,1,10,0,0,6,9,2,14,297,0,0,6,6,0,0,0,1,1,0,0,3,1,11,4,2
20,0,0,2,0,0,2,1,6,8,1,0,1,5,1,5,0,10,3,0,0,280,7,0,1,0,0,1,2,1,0,1,26,0,3,8,0
21,0,1,3,3,0,3,11,2,13,4,0,2,7,0,0,2,0,0,3,2,6,290,10,4,0,1,0,1,5,0,4,6,0,0,1,1
22,0,0,5,1,0,0,5,2,1,0,0,0,3,0,0,14,9,2,15,6,1,5,281,24,0,0,0,1,0,0,0,2,2,8,1,1
23,0,1,2,7,1,1,0,6,12,0,0,1,1,2,0,1,14,2,6,3,3,1,12,291,0,0,0,1,3,0,2,2,0,1,1,1
24,0,1,0,0,0,0,1,0,2,5,2,3,0,0,0,0,0,0,0,0,1,3,0,0,345,1,8,4,3,2,3,0,1,0,0,15
25,0,0,0,0,1,0,0,0,0,0,1,1,2,1,1,0,1,0,0,0,0,0,2,0,5,163,3,5,2,2,7,0,0,0,0,5
26,0,0,0,0,3,0,0,8,2,0,0,1,0,1,0,0,2,0,0,1,3,0,0,1,2,0,349,2,1,1,2,3,0,0,1,3
27,0,1,1,0,3,3,3,1,3,0,0,5,0,1,0,0,0,0,0,1,0,0,1,0,3,3,0,344,0,0,3,10,0,1,0,0
28,0,0,0,1,1,0,5,13,4,0,2,6,5,2,0,1,0,0,4,2,0,2,1,3,5,2,1,2,265,19,20,0,1,0,2,3
29,0,0,0,0,2,0,0,3,1,1,1,2,1,1,0,0,1,2,1,0,1,0,0,1,3,3,0,0,21,108,18,0,1,0,1,3
30,0,0,0,1,4,0,5,7,0,0,0,5,8,0,0,0,0,0,0,1,1,0,0,0,0,4,0,3,12,15,310,2,0,0,0,10
31,0,2,1,2,5,0,0,4,5,0,0,0,11,5,3,0,8,1,0,1,21,4,0,6,0,0,1,6,2,0,1,279,0,3,1,0
32,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,2,0,1,0,138,0,2,5
33,0,0,0,2,0,0,5,0,2,0,1,1,7,0,0,4,3,1,8,15,0,3,8,6,0,0,0,0,1,1,0,1,0,144,0,0
34,0,0,1,0,4,0,1,9,0,0,0,1,0,0,4,2,16,1,2,3,3,0,0,3,0,0,4,0,0,0,1,2,0,0,345,2
35,0,0,2,1,1,1,2,0,0,0,0,3,2,0,0,3,1,1,0,2,0,0,2,1,14,14,0,0,6,1,18,0,5,0,2,323
