True,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,143,2,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,1,0,0,9,0,1,0,1
2,0,1,109,12,2,4,10,9,6,0,0,1,8,1,0,0,2,2,7,1,6,7,1,2,0,0,0,0,0,1,1,6,2,0,0,0
3,0,1,16,133,1,1,4,1,3,0,0,4,13,0,0,3,2,0,3,3,2,4,2,5,0,0,0,0,0,0,0,2,0,2,2,0
4,0,0,1,2,139,4,2,7,3,0,0,2,4,4,0,0,3,0,0,2,4,0,0,3,0,1,2,4,1,3,5,7,0,0,0,0
5,0,1,10,4,3,115,22,0,1,0,0,5,14,1,0,0,1,3,0,7,1,4,2,1,0,0,0,1,0,0,5,6,1,5,0,0
6,0,1,4,4,3,14,246,2,5,3,1,1,30,0,0,2,1,1,13,9,1,18,6,0,3,0,1,0,5,0,6,1,1,6,2,1
7,0,0,11,1,1,1,4,312,3,0,0,0,1,1,3,1,2,0,2,1,2,2,0,6,1,0,5,0,9,0,6,2,0,0,2,0
8,0,1,2,1,2,6,8,2,288,9,6,9,3,0,0,0,1,0,4,1,4,25,3,6,4,0,2,1,4,0,2,2,1,6,1,1
9,0,0,0,2,0,1,3,0,19,84,12,17,3,1,0,0,0,1,1,0,0,2,0,0,4,1,0,1,2,1,1,0,0,1,0,1
10,0,0,0,3,0,0,0,0,4,20,87,25,0,0,0,0,0,0,0,0,1,2,0,0,6,1,1,0,0,0,3,0,0,1,0,1
11,0,0,2,0,0,2,1,2,12,13,14,264,10,0,0,1,0,0,0,2,7,4,3,0,5,4,0,8,6,0,7,2,1,0,1,2
12,0,0,8,5,4,8,23,3,2,0,0,10,237,0,1,2,0,0,2,30,2,10,6,2,0,0,0,3,3,1,14,6,1,1,1,3
13,0,2,0,1,11,0,1,0,0,0,0,0,1,170,2,0,2,1,0,0,0,1,1,1,3,0,0,1,1,1,0,5,0,0,1,0
14,0,0,1,0,3,0,0,1,2,0,0,0,0,1,173,0,0,0,0,2,12,2,0,1,1,0,2,1,1,0,0,2,0,0,7,0
15,0,1,0,7,0,3,2,0,2,0,0,0,3,0,0,66,4,4,17,9,1,2,20,3,0,1,0,0,3,0,0,2,0,3,1,4
16,0,0,0,0,1,1,0,5,1,0,0,2,2,1,0,2,292,2,8,4,4,0,13,10,1,1,1,0,3,0,1,5,1,2,16,1
17,0,0,3,2,0,0,1,0,3,0,1,0,2,2,1,1,4,161,12,2,0,0,8,2,0,1,0,1,0,0,0,1,0,2,0,0
18,0,1,3,1,0,2,14,2,5,1,0,0,0,0,1,12,1,2,284,14,1,8,15,4,1,0,1,1,2,0,4,1,1,11,0,0
19,0,1,1,1,0,4,9,2,2,0,0,1,7,1,0,7,7,3,18,307,0,0,5,2,0,0,0,1,3,0,2,2,0,4,2,2
20,0,1,1,2,2,3,0,6,6,0,0,1,3,2,5,0,5,0,0,0,285,10,0,0,3,0,1,3,2,0,0,25,0,1,8,0
21,0,0,4,0,0,3,9,3,16,5,0,4,7,0,1,1,2,0,4,1,2,291,14,0,0,0,0,2,3,1,4,6,0,1,1,0
22,0,0,0,3,0,1,3,1,1,0,0,0,4,0,0,8,10,4,15,6,0,3,297,14,0,0,0,1,0,0,2,2,1,11,2,0
23,0,0,5,4,1,0,0,6,7,0,2,0,0,0,1,5,7,2,7,4,2,1,9,298,0,0,1,0,4,0,2,2,0,2,5,1
24,0,1,0,0,0,0,0,0,3,3,4,5,0,4,0,0,0,1,0,0,1,1,0,0,353,2,3,4,4,1,1,0,0,0,0,9
25,0,0,0,0,1,0,0,0,1,0,0,4,2,0,0,0,0,0,0,2,0,0,1,1,7,160,1,5,1,3,3,1,0,0,0,9
26,0,0,0,0,2,0,2,8,1,0,0,0,0,0,0,0,3,0,0,0,2,2,0,0,5,0,349,1,1,0,3,4,0,0,2,1
27,0,0,1,0,6,3,1,0,1,1,0,4,2,0,1,0,0,0,0,1,0,0,0,0,4,3,1,342,0,0,4,9,2,0,0,1
28,0,0,2,1,1,0,1,4,2,1,0,6,3,2,0,1,0,0,4,0,2,4,3,6,4,1,1,0,274,14,28,0,0,0,1,6
29,0,0,2,0,2,1,0,4,1,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,3,2,0,0,28,114,11,0,1,0,0,2
30,0,0,0,0,2,1,4,4,0,0,0,6,11,0,0,0,0,1,0,2,1,2,0,0,1,3,0,1,16,12,307,3,0,0,0,11
31,0,1,5,0,5,3,1,6,1,0,0,1,7,4,1,0,8,0,0,0,20,6,3,4,0,0,0,3,1,0,3,287,0,1,1,0
32,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,5,0,2,0,136,0,2,4
33,0,0,0,0,0,2,4,0,2,1,1,0,6,0,0,3,0,1,9,12,0,2,19,4,0,0,0,0,1,0,0,0,0,144,1,1
34,0,0,1,0,3,1,0,5,1,0,0,1,0,0,2,2,16,1,2,1,5,0,0,1,0,0,1,0,0,0,1,1,0,1,358,0
35,0,0,0,1,0,0,6,0,0,1,0,1,5,0,1,1,1,0,0,6,0,2,1,0,18,9,1,3,6,1,10,1,5,0,4,321
